Block_idx,position_start,position_end,most_likely_state
68,0,2741,6.0
69,0,19728,6.0
70,0,63915,3.0
71,0,10779,3.0
72,0,5651,6.0
72,5652,5729,8.0
73,0,5714,3.0
73,5715,5817,23.0
73,5818,6559,6.0
74,0,2712,6.0
74,2713,3857,8.0
74,3858,6767,6.0
75,0,334,23.0
75,335,10406,6.0
75,10407,11228,8.0
76,0,15270,3.0
77,0,1877,5.0
77,1878,4073,3.0
78,0,12882,3.0
79,0,2184,3.0
80,0,11681,6.0
80,11682,18384,21.0
81,0,5820,0.0
82,0,3618,0.0
82,3619,3761,2.0
82,3762,4405,14.0
82,4406,11604,8.0
83,0,1186,2.0
83,1187,43716,0.0
84,0,6167,5.0
84,6168,28719,3.0
85,0,4493,7.0
86,0,5690,6.0
86,5691,8077,8.0
86,8078,11644,6.0
87,0,11381,6.0
87,11382,36035,3.0
88,0,29258,3.0
89,0,18983,0.0
89,18984,30236,6.0
90,0,6732,6.0
91,0,2043,8.0
91,2044,2986,6.0
92,0,2981,6.0
92,2982,3268,23.0
93,0,7602,6.0
94,0,422,17.0
94,423,2764,6.0
95,0,8916,3.0
96,0,3469,7.0
97,0,4987,0.0
98,0,14797,0.0
99,0,11032,3.0
100,0,26138,3.0
101,0,19256,3.0
102,0,20314,3.0
103,0,17781,3.0
104,0,6884,3.0
105,0,2064,6.0
106,0,7203,6.0
107,0,3301,6.0
108,0,3697,6.0
109,0,4513,3.0
110,0,8544,3.0
111,0,2467,5.0
111,2468,20314,3.0
112,0,6170,0.0
113,0,7423,0.0
114,0,11078,0.0
115,0,4635,3.0
116,0,18679,3.0
117,0,5528,3.0
118,0,1467,5.0
118,1468,11926,3.0
118,11927,12206,23.0
119,0,6636,6.0
120,0,13596,3.0
121,0,5755,3.0
122,0,10587,6.0
123,0,2003,3.0
124,0,21495,3.0
124,21496,24607,21.0
125,0,9862,3.0
126,0,12960,0.0
127,0,12623,3.0
127,12624,12790,17.0
128,0,6591,6.0
129,0,7139,6.0
130,0,2094,3.0
131,0,2141,6.0
132,0,2505,3.0
133,0,6603,6.0
134,0,2319,6.0
135,0,11658,6.0
136,0,12764,6.0
137,0,22013,6.0
138,0,3893,0.0
139,0,2538,3.0
140,0,4499,0.0
141,0,1389,19.0
141,1390,2562,23.0
141,2563,5868,6.0
141,5869,6792,23.0
142,0,1191,6.0
142,1192,2205,23.0
142,2206,5188,6.0
143,0,9975,6.0
144,0,6299,3.0
145,0,8602,3.0
146,0,4206,6.0
147,0,4775,3.0
148,0,7283,3.0
149,0,10161,3.0
150,0,14744,0.0
151,0,22416,0.0
152,0,3326,3.0
153,0,7158,6.0
153,7159,9276,8.0
153,9277,23279,6.0
154,0,3854,6.0
155,0,10495,6.0
155,10496,24405,0.0
156,0,4371,3.0
157,0,8949,3.0
158,0,8538,3.0
159,0,3082,3.0
159,3083,3399,17.0
159,3400,12851,6.0
160,0,30752,3.0
161,0,27537,6.0
162,0,6048,3.0
163,0,7419,3.0
164,0,2354,6.0
165,0,3519,3.0
166,0,5397,3.0
167,0,3892,0.0
168,0,3410,6.0
169,0,13356,3.0
170,0,19444,3.0
171,0,5196,0.0
172,0,3960,3.0
173,0,2018,3.0
174,0,29972,3.0
175,0,6435,6.0
176,0,5377,3.0
177,0,12961,6.0
178,0,15004,6.0
178,15005,16321,23.0
178,16322,18856,6.0
179,0,486,16.0
179,487,3351,13.0
180,0,2619,6.0
181,0,3511,22.0
181,3512,7725,15.0
182,0,13666,6.0
182,13667,15239,16.0
182,15240,16526,7.0
183,0,6641,15.0
183,6642,7384,23.0
183,7385,8192,17.0
183,8193,20155,6.0
183,20156,23182,8.0
184,0,4913,6.0
184,4914,6663,17.0
184,6664,11003,6.0
185,0,8153,6.0
186,0,11334,6.0
187,0,4517,6.0
188,0,14955,6.0
188,14956,16119,23.0
188,16120,16735,13.0
189,0,1054,23.0
189,1055,25279,3.0
190,0,5667,3.0
191,0,10754,6.0
192,0,2561,6.0
193,0,6003,6.0
194,0,7998,6.0
195,0,4683,15.0
195,4684,14991,6.0
196,0,4255,3.0
197,0,2555,6.0
198,0,2260,3.0
199,0,4053,6.0
200,0,189,23.0
200,190,7643,6.0
201,0,2338,3.0
202,0,5625,3.0
202,5626,9631,16.0
202,9632,20345,3.0
203,0,13737,0.0
204,0,3391,6.0
205,0,39,23.0
205,40,3265,6.0
205,3266,4203,17.0
206,0,1790,23.0
206,1791,4699,6.0
207,0,3947,8.0
207,3948,4503,25.0
208,0,6120,6.0
209,0,4433,6.0
210,0,11627,3.0
211,0,15041,6.0
211,15042,15158,17.0
211,15159,27160,6.0
212,0,14428,3.0
213,0,20409,3.0
214,0,40294,3.0
214,40295,42151,16.0
214,42152,49460,3.0
215,0,4674,6.0
216,0,13679,6.0
217,0,3921,6.0
218,0,14414,6.0
219,0,4684,6.0
220,0,7178,6.0
220,7179,7986,23.0
221,0,6664,8.0
221,6665,8064,23.0
221,8065,10834,6.0
222,0,2815,11.0
222,2816,5720,23.0
222,5721,7520,6.0
223,0,4773,0.0
224,0,4121,6.0
224,4122,6413,16.0
224,6414,18256,0.0
224,18257,19259,15.0
225,0,9097,0.0
226,0,5346,0.0
227,0,8952,0.0
228,0,11759,3.0
229,0,11660,6.0
229,11661,13519,8.0
230,0,6056,3.0
231,0,18672,6.0
232,0,5881,21.0
232,5882,9146,6.0
233,0,11561,6.0
234,0,5664,6.0
235,0,11356,3.0
235,11357,21890,4.0
236,0,6734,6.0
237,0,1846,23.0
237,1847,10029,6.0
238,0,2897,6.0
239,0,3446,2.0
240,0,4402,3.0
241,0,2723,7.0
242,0,4437,7.0
243,0,7562,6.0
244,0,1228,8.0
244,1229,3261,6.0
245,0,24576,6.0
245,24577,35513,16.0
245,35514,40281,6.0
245,40282,41383,23.0
246,0,4351,6.0
247,0,8459,6.0
248,0,3457,6.0
248,3458,5209,17.0
249,0,10760,6.0
250,0,3732,16.0
251,0,3758,6.0
251,3759,5356,17.0
251,5357,5622,23.0
251,5623,6726,17.0
251,6727,11739,6.0
252,0,3180,6.0
253,0,8298,6.0
254,0,3610,3.0
255,0,4676,6.0
256,0,9793,6.0
257,0,5686,7.0
258,0,2678,8.0
259,0,2031,15.0
260,0,2092,6.0
260,2093,5291,15.0
261,0,2560,6.0
262,0,5611,6.0
263,0,2002,6.0
264,0,7319,6.0
265,0,11493,0.0
265,11494,19868,6.0
265,19869,24224,16.0
266,0,8903,16.0
267,0,5174,6.0
268,0,2162,17.0
268,2163,3381,25.0
269,0,9751,3.0
270,0,3387,4.0
271,0,4421,6.0
272,0,2933,6.0
273,0,3552,6.0
274,0,10443,6.0
275,0,6014,6.0
276,0,2910,6.0
277,0,3070,6.0
278,0,11134,6.0
278,11135,11234,8.0
278,11235,11693,20.0
279,0,2512,6.0
280,0,6363,6.0
281,0,7342,6.0
282,0,2574,0.0
283,0,17062,4.0
284,0,2988,0.0
285,0,2296,3.0
286,0,4488,6.0
287,0,3095,6.0
287,3096,5600,17.0
287,5601,6426,6.0
287,6427,7061,23.0
288,0,8102,6.0
288,8103,9069,17.0
289,0,14257,3.0
289,14258,20669,21.0
289,20670,21941,0.0
290,0,3150,6.0
291,0,2237,21.0
292,0,1124,17.0
292,1125,4012,8.0
292,4013,4824,23.0
292,4825,5244,17.0
292,5245,16182,6.0
293,0,5528,6.0
294,0,495,23.0
294,496,5241,6.0
295,0,10489,6.0
296,0,3573,6.0
296,3574,3715,23.0
297,0,22491,0.0
297,22492,28807,6.0
298,0,3999,7.0
299,0,2512,3.0
300,0,33823,6.0
300,33824,35313,17.0
300,35314,57818,6.0
301,0,10215,6.0
302,0,4990,6.0
303,0,20352,6.0
304,0,286,17.0
304,287,3739,0.0
305,0,16195,0.0
306,0,18155,3.0
307,0,142,23.0
307,143,20773,3.0
308,0,17482,3.0
308,17483,17961,5.0
308,17962,19222,20.0
308,19223,19399,23.0
308,19400,31305,0.0
309,0,8494,3.0
310,0,16057,3.0
311,0,5327,6.0
312,0,2509,8.0
312,2510,5560,6.0
313,0,2769,22.0
314,0,13344,6.0
315,0,14634,6.0
316,0,9239,6.0
317,0,2272,21.0
318,0,11537,15.0
318,11538,17339,3.0
319,0,5862,4.0
320,0,7131,6.0
320,7132,9176,22.0
321,0,229,17.0
321,230,8220,6.0
322,0,12558,6.0
322,12559,16383,0.0
322,16384,18151,23.0
322,18152,18424,17.0
322,18425,25616,0.0
322,25617,31764,15.0
322,31765,47890,3.0
323,0,3614,6.0
323,3615,4381,16.0
323,4382,48981,0.0
324,0,20439,0.0
325,0,4481,0.0
325,4482,7222,2.0
325,7223,10772,0.0
325,10773,14596,2.0
326,0,6735,0.0
326,6736,9158,16.0
326,9159,21159,6.0
327,0,22624,6.0
327,22625,26875,8.0
327,26876,30004,6.0
327,30005,31152,23.0
327,31153,39463,3.0
327,39464,39660,17.0
327,39661,41041,2.0
327,41042,43572,23.0
327,43573,47964,3.0
327,47965,48254,23.0
327,48255,67405,6.0
327,67406,82020,3.0
328,0,3013,7.0
328,3014,4151,22.0
328,4152,12569,6.0
328,12570,13962,16.0
328,13963,29999,6.0
328,30000,32988,8.0
329,0,4870,6.0
330,0,7213,6.0
330,7214,11080,8.0
330,11081,12327,17.0
330,12328,17336,6.0
330,17337,22626,8.0
330,22627,26231,19.0
330,26232,27801,23.0
331,0,2265,6.0
331,2266,2878,17.0
332,0,19221,6.0
332,19222,21684,23.0
332,21685,24101,19.0
332,24102,24108,23.0
332,24109,34055,6.0
333,0,2317,6.0
333,2318,6844,15.0
333,6845,12873,6.0
334,0,681,23.0
334,682,15300,6.0
334,15301,16730,17.0
334,16731,18163,11.0
335,0,12076,6.0
336,0,4386,0.0
336,4387,5149,17.0
336,5150,13697,0.0
337,0,16857,6.0
338,0,6211,7.0
338,6212,7307,22.0
338,7308,14066,6.0
338,14067,15487,23.0
338,15488,19826,3.0
339,0,12699,3.0
340,0,440,5.0
340,441,3688,3.0
341,0,7237,6.0
342,0,3956,6.0
342,3957,4141,23.0
343,0,6713,6.0
344,0,6962,3.0
344,6963,11201,16.0
344,11202,14259,6.0
344,14260,15241,17.0
344,15242,35801,6.0
345,0,3968,21.0
345,3969,5978,17.0
345,5979,8714,21.0
345,8715,11886,0.0
346,0,3760,6.0
347,0,6491,0.0
348,0,9940,6.0
348,9941,13134,23.0
348,13135,14873,8.0
348,14874,16584,6.0
348,16585,17458,23.0
348,17459,29913,6.0
349,0,272,26.0
349,273,511,19.0
349,512,12380,7.0
350,0,508,23.0
350,509,11155,6.0
350,11156,11643,17.0
350,11644,23795,6.0
351,0,2472,21.0
351,2473,3443,11.0
352,0,1825,21.0
352,1826,1836,17.0
352,1837,2130,0.0
353,0,23867,6.0
354,0,1618,8.0
354,1619,2078,23.0
354,2079,6145,6.0
354,6146,7236,8.0
354,7237,7500,17.0
354,7501,9345,25.0
354,9346,12606,16.0
354,12607,16537,25.0
354,16538,16680,8.0
354,16681,17927,17.0
354,17928,20342,6.0
354,20343,21101,23.0
354,21102,26727,3.0
355,0,2111,7.0
356,0,16394,6.0
356,16395,21655,0.0
357,0,3309,8.0
357,3310,4449,23.0
357,4450,4657,20.0
358,0,818,8.0
358,819,22069,6.0
358,22070,23960,8.0
358,23961,25606,17.0
358,25607,29250,0.0
358,29251,31617,22.0
359,0,1268,23.0
359,1269,23792,6.0
359,23793,26606,22.0
359,26607,30398,3.0
360,0,3047,8.0
360,3048,4630,17.0
360,4631,17387,3.0
361,0,6423,6.0
361,6424,6895,17.0
361,6896,13993,6.0
361,13994,17260,23.0
362,0,1981,16.0
362,1982,2094,1.0
363,0,207,20.0
363,208,2407,8.0
363,2408,3076,23.0
363,3077,3591,8.0
364,0,1545,16.0
364,1546,2434,13.0
365,0,3355,3.0
365,3356,6061,23.0
365,6062,6439,8.0
365,6440,7688,19.0
365,7689,9430,11.0
365,9431,9914,23.0
365,9915,16365,3.0
365,16366,18414,17.0
365,18415,20791,8.0
365,20792,22877,19.0
365,22878,23076,8.0
365,23077,30378,6.0
365,30379,33112,22.0
365,33113,42155,15.0
365,42156,42338,23.0
366,0,13167,6.0
366,13168,13425,17.0
366,13426,21166,21.0
366,21167,23677,6.0
367,0,2683,6.0
368,0,7594,6.0
368,7595,15741,15.0
368,15742,21873,6.0
368,21874,23033,23.0
368,23034,52522,6.0
369,0,5480,6.0
369,5481,5990,17.0
369,5991,8955,21.0
370,0,6289,21.0
370,6290,24995,6.0
371,0,6576,6.0
371,6577,9256,8.0
371,9257,28791,6.0
371,28792,30373,23.0
371,30374,32509,19.0
371,32510,39220,8.0
371,39221,39503,23.0
371,39504,45192,6.0
371,45193,49778,22.0
371,49779,52956,7.0
371,52957,62400,16.0
372,0,686,6.0
372,687,3534,22.0
373,0,1555,6.0
373,1556,2085,17.0
373,2086,10945,16.0
373,10946,15031,7.0
374,0,2732,16.0
374,2733,3328,7.0
374,3329,7568,22.0
374,7569,9080,19.0
375,0,3346,23.0
375,3347,6265,6.0
376,0,3094,6.0
377,0,2124,16.0
377,2125,4623,17.0
377,4624,9762,6.0
377,9763,11281,22.0
377,11282,17501,6.0
377,17502,19697,8.0
377,19698,20106,17.0
377,20107,23263,21.0
378,0,7720,6.0
378,7721,8395,23.0
378,8396,9457,8.0
378,9458,32833,6.0
378,32834,42442,22.0
378,42443,45300,15.0
378,45301,46749,17.0
379,0,14412,6.0
380,0,2408,7.0
380,2409,6678,19.0
380,6679,7536,22.0
380,7537,17733,16.0
381,0,2140,17.0
381,2141,2305,2.0
382,0,1103,5.0
382,1104,4370,3.0
382,4371,5303,23.0
382,5304,7997,6.0
382,7998,8574,8.0
383,0,3379,6.0
383,3380,3654,17.0
384,0,3194,18.0
384,3195,7010,25.0
384,7011,7098,17.0
384,7099,8401,8.0
384,8402,8640,23.0
384,8641,9722,13.0
385,0,681,13.0
385,682,2835,25.0
385,2836,3671,8.0
385,3672,4774,17.0
385,4775,9601,13.0
385,9602,10243,23.0
385,10244,24888,3.0
386,0,4225,6.0
387,0,2334,16.0
387,2335,6078,3.0
388,0,624,5.0
388,625,7193,3.0
388,7194,16014,21.0
388,16015,18174,17.0
388,18175,28311,21.0
388,28312,30965,6.0
389,0,3315,21.0
389,3316,5425,6.0
389,5426,6533,23.0
389,6534,8356,15.0
390,0,537,23.0
390,538,3417,6.0
390,3418,4575,22.0
390,4576,8577,4.0
390,8578,8868,25.0
390,8869,8985,8.0
390,8986,20416,6.0
391,0,2610,7.0
392,0,4185,4.0
393,0,3140,6.0
393,3141,4203,8.0
394,0,12979,6.0
395,0,9257,6.0
396,0,3186,6.0
397,0,610,22.0
397,611,3670,6.0
397,3671,4928,23.0
397,4929,13602,8.0
397,13603,33546,6.0
397,33547,35492,17.0
397,35493,41707,6.0
398,0,4624,8.0
398,4625,11023,6.0
399,0,41284,6.0
399,41285,53297,3.0
400,0,3071,6.0
401,0,2788,6.0
402,0,5966,6.0
402,5967,7070,17.0
402,7071,8079,23.0
402,8080,10939,6.0
402,10940,12628,8.0
402,12629,16806,6.0
402,16807,17928,17.0
402,17929,21016,8.0
403,0,15498,6.0
404,0,12962,6.0
405,0,7152,6.0
406,0,28248,3.0
406,28249,33719,15.0
406,33720,40139,6.0
406,40140,42117,21.0
406,42118,42997,17.0
406,42998,54369,6.0
407,0,449,17.0
407,450,13411,6.0
408,0,6185,6.0
408,6186,8027,8.0
409,0,5269,6.0
409,5270,9645,15.0
409,9646,27534,3.0
410,0,24283,0.0
411,0,37410,6.0
412,0,2148,6.0
413,0,14050,6.0
414,0,18981,3.0
415,0,2104,6.0
416,0,3071,6.0
417,0,3140,6.0
418,0,8828,6.0
419,0,2237,6.0
420,0,2378,3.0
421,0,751,8.0
421,752,19690,6.0
422,0,3262,6.0
423,0,10039,6.0
424,0,5290,8.0
425,0,913,13.0
425,914,6824,16.0
425,6825,8792,6.0
426,0,10945,6.0
427,0,3274,11.0
428,0,3192,6.0
429,0,3445,7.0
430,0,5521,6.0
430,5522,6560,22.0
431,0,229,17.0
431,230,3635,6.0
432,0,15637,6.0
433,0,897,20.0
433,898,2090,23.0
433,2091,5791,0.0
434,0,1327,5.0
434,1328,9346,3.0
435,0,3776,6.0
436,0,3279,6.0
437,0,3036,6.0
438,0,3929,3.0
439,0,9963,3.0
440,0,2343,0.0
441,0,3974,6.0
442,0,28176,6.0
443,0,14291,6.0
444,0,15761,6.0
445,0,6170,6.0
446,0,30577,6.0
447,0,24723,6.0
447,24724,27990,22.0
448,0,1044,17.0
448,1045,9953,3.0
449,0,3835,0.0
449,3836,5945,16.0
449,5946,10229,4.0
450,0,2167,22.0
451,0,26997,6.0
452,0,5568,6.0
453,0,2075,6.0
453,2076,6696,17.0
453,6697,8305,23.0
453,8306,9995,6.0
454,0,5858,6.0
454,5859,11812,8.0
454,11813,17659,6.0
455,0,2521,3.0
455,2522,3546,17.0
455,3547,4497,23.0
455,4498,8865,6.0
455,8866,13325,17.0
455,13326,15016,6.0
456,0,6368,6.0
456,6369,8119,22.0
456,8120,8441,19.0
456,8442,10464,7.0
457,0,2783,6.0
457,2784,3532,23.0
457,3533,4622,6.0
458,0,4100,7.0
458,4101,5985,8.0
458,5986,6077,17.0
458,6078,6315,23.0
458,6316,8148,6.0
458,8149,9314,23.0
458,9315,16166,6.0
458,16167,18296,23.0
459,0,5452,23.0
460,0,2064,21.0
460,2065,5096,6.0
460,5097,6224,23.0
460,6225,7102,13.0
460,7103,7630,17.0
460,7631,11957,23.0
461,0,11516,6.0
461,11517,15724,8.0
461,15725,20242,6.0
462,0,327,19.0
462,328,489,23.0
462,490,11575,6.0
463,0,4817,6.0
464,0,3153,1.0
465,0,948,17.0
465,949,17324,6.0
465,17325,47016,0.0
466,0,14504,3.0
467,0,18010,6.0
468,0,19514,3.0
469,0,6324,3.0
470,0,38409,0.0
471,0,15801,3.0
472,0,12340,6.0
472,12341,13893,16.0
472,13894,15162,22.0
472,15163,34553,3.0
473,0,4101,3.0
474,0,14081,6.0
475,0,2392,22.0
476,0,16594,6.0
477,0,9013,6.0
478,0,5121,6.0
479,0,852,23.0
479,853,2041,6.0
480,0,21729,6.0
480,21730,22586,23.0
480,22587,23225,6.0
480,23226,24184,17.0
480,24185,38751,6.0
481,0,2491,6.0
482,0,19138,3.0
483,0,6464,0.0
484,0,7921,3.0
485,0,14146,6.0
485,14147,14308,23.0
485,14309,15413,17.0
485,15414,17733,0.0
486,0,6849,6.0
487,0,8762,6.0
488,0,3245,6.0
489,0,2590,22.0
489,2591,8266,3.0
490,0,8277,0.0
491,0,2595,3.0
492,0,28047,3.0
492,28048,28112,23.0
492,28113,40996,3.0
493,0,14018,0.0
494,0,7604,0.0
495,0,2038,0.0
496,0,2827,0.0
497,0,2669,5.0
498,0,5488,7.0
499,0,2062,3.0
500,0,7376,6.0
501,0,15932,3.0
502,0,2914,0.0
503,0,12982,3.0
504,0,2455,3.0
505,0,14022,0.0
506,0,10308,3.0
507,0,12508,3.0
508,0,8336,6.0
509,0,8980,6.0
509,8981,9046,17.0
509,9047,16301,3.0
510,0,2337,6.0
511,0,4264,6.0
512,0,11522,3.0
513,0,6244,0.0
514,0,2693,6.0
515,0,6905,3.0
516,0,11460,3.0
517,0,3507,0.0
518,0,14654,6.0
519,0,2542,7.0
520,0,6444,6.0
521,0,8579,6.0
522,0,5072,6.0
523,0,14221,6.0
524,0,35889,6.0
525,0,24029,6.0
525,24030,25959,22.0
526,0,6660,3.0
527,0,4808,3.0
528,0,3075,16.0
528,3076,13368,6.0
529,0,2136,6.0
529,2137,2920,23.0
530,0,3835,6.0
530,3836,6204,8.0
531,0,3108,1.0
532,0,5364,8.0
532,5365,10357,6.0
533,0,2233,6.0
534,0,3744,6.0
535,0,19233,3.0
536,0,3118,0.0
537,0,5945,6.0
538,0,10560,3.0
539,0,6348,6.0
540,0,9055,6.0
541,0,6005,15.0
542,0,3532,15.0
542,3533,4997,17.0
543,0,4848,6.0
544,0,7222,0.0
545,0,5034,6.0
546,0,1793,6.0
546,1794,6792,15.0
547,0,9683,6.0
547,9684,11448,8.0
548,0,16450,0.0
549,0,10794,0.0
550,0,145,8.0
550,146,2992,6.0
551,0,14460,6.0
552,0,13810,3.0
553,0,16252,3.0
554,0,11169,0.0
555,0,13020,6.0
555,13021,16524,8.0
556,0,3051,6.0
557,0,4193,6.0
558,0,2254,6.0
559,0,2124,21.0
560,0,17019,6.0
560,17020,23009,21.0
561,0,13119,6.0
562,0,9631,21.0
562,9632,11685,6.0
563,0,77,17.0
563,78,2247,21.0
564,0,5688,6.0
565,0,8531,6.0
566,0,10628,6.0
567,0,10810,0.0
568,0,24413,0.0
569,0,5155,3.0
570,0,8150,6.0
571,0,6170,6.0
572,0,19292,3.0
573,0,763,0.0
573,764,4488,16.0
573,4489,5465,7.0
574,0,5159,3.0
575,0,2731,3.0
576,0,28495,6.0
577,0,1387,17.0
577,1388,2460,25.0
577,2461,10902,7.0
577,10903,11212,19.0
577,11213,12218,22.0
578,0,7321,3.0
579,0,2836,8.0
579,2837,10121,6.0
580,0,282,17.0
580,283,2022,6.0
580,2023,6547,8.0
581,0,4848,3.0
582,0,33385,3.0
582,33386,50129,6.0
583,0,2747,6.0
584,0,11592,6.0
585,0,12930,3.0
585,12931,13892,23.0
585,13893,14749,17.0
585,14750,23112,6.0
585,23113,51001,0.0
586,0,6910,0.0
586,6911,6911,23.0
586,6912,7013,20.0
587,0,15550,6.0
588,0,25480,6.0
589,0,3174,6.0
589,3175,5632,16.0
589,5633,6615,22.0
590,0,9294,6.0
591,0,4618,7.0
592,0,13833,3.0
592,13834,16406,15.0
593,0,2938,6.0
593,2939,7396,22.0
593,7397,13559,6.0
594,0,3177,0.0
595,0,33640,3.0
596,0,15425,6.0
597,0,21596,3.0
597,21597,22676,17.0
597,22677,25492,0.0
598,0,13603,3.0
599,0,5965,0.0
600,0,18990,0.0
601,0,11900,3.0
601,11901,12591,17.0
601,12592,21153,6.0
601,21154,23368,17.0
601,23369,25220,6.0
601,25221,36819,22.0
601,36820,38396,13.0
602,0,5262,8.0
602,5263,27246,6.0
602,27247,27362,23.0
602,27363,36968,3.0
603,0,5485,3.0
603,5486,6774,17.0
603,6775,8690,2.0
603,8691,10132,19.0
603,10133,11368,2.0
603,11369,24388,0.0
604,0,28976,3.0
605,0,21648,3.0
606,0,12146,6.0
607,0,8398,6.0
607,8399,9523,17.0
607,9524,32515,3.0
607,32516,39385,17.0
607,39386,58348,6.0
607,58349,61081,8.0
607,61082,62017,23.0
607,62018,62282,17.0
607,62283,62756,8.0
607,62757,65210,6.0
607,65211,65789,17.0
608,0,39159,6.0
609,0,23621,3.0
610,0,3608,0.0
611,0,7773,0.0
612,0,4396,6.0
612,4397,5451,23.0
612,5452,7260,6.0
613,0,9951,6.0
613,9952,10082,8.0
613,10083,12128,17.0
613,12129,20386,6.0
613,20387,22564,23.0
613,22565,23855,8.0
613,23856,24324,23.0
613,24325,32761,3.0
614,0,4654,3.0
614,4655,6756,17.0
614,6757,14288,6.0
615,0,12660,3.0
616,0,215,17.0
616,216,18646,6.0
617,0,7132,6.0
618,0,2873,6.0
618,2874,4139,17.0
618,4140,5872,0.0
618,5873,6372,17.0
618,6373,10254,21.0
618,10255,10513,11.0
618,10514,10854,20.0
618,10855,12138,8.0
619,0,4697,15.0
619,4698,19996,6.0
619,19997,20438,23.0
619,20439,32713,6.0
620,0,2507,6.0
620,2508,7242,16.0
620,7243,17627,3.0
620,17628,29346,21.0
621,0,15552,6.0
621,15553,16028,8.0
622,0,1271,8.0
622,1272,2705,23.0
622,2706,7983,6.0
623,0,1591,6.0
623,1592,3217,8.0
623,3218,4381,19.0
623,4382,4776,23.0
623,4777,12571,0.0
623,12572,15571,15.0
